Year,Month,Temperature Anomaly,UC,Temperature
1884,4,0.622,0.614,5.152
1884,5,0.058,0.544,9.118
1884,6,1.370,0.878,14.94
1884,7,-0.529,0.694,15.841
1884,8,-0.676,0.784,14.884
1884,9,-0.515,0.587,10.545
1884,10,-2.952,0.667,1.558
1884,11,-3.213,0.735,-5.333
1884,12,-0.822,0.951,-7.832
1885,1,-3.219,1.140,-13.009
1885,2,-2.978,1.262,-10.508
1885,3,0.417,0.751,-1.603
1885,4,-0.864,1.256,3.666
1885,5,-0.275,0.878,8.785
1885,6,0.116,0.643,13.686
1885,7,-2.062,0.793,14.308
1885,8,0.968,0.573,16.528
1885,9,0.027,0.654,11.087
1885,10,-0.478,0.713,4.032
1885,11,0.256,0.719,-1.864
1885,12,-2.185,0.582,-9.195
1886,1,-1.096,1.147,-10.886
1886,2,-6.418,0.762,-13.948
1886,3,-0.553,0.960,-2.573
1886,4,-2.036,0.516,2.494
1886,5,-0.927,0.818,8.133
1886,6,0.019,0.625,13.589
1886,7,0.434,0.965,16.804
1886,8,0.364,0.373,15.924
1886,9,-1.180,0.536,9.88
1886,10,-1.695,0.591,2.815
1886,11,-2.068,0.779,-4.188
1886,12,-1.659,1.711,-8.669
1887,1,-3.181,1.173,-12.971
1887,2,-3.077,0.721,-10.607
1887,3,-0.441,0.818,-2.461
1887,4,1.557,0.747,6.087
1887,5,-0.711,0.736,8.349
1887,6,-0.438,0.799,13.132
1887,7,-0.350,0.527,16.02
1887,8,-0.139,0.490,15.421
1887,9,-1.113,0.329,9.947
1887,10,1.203,0.619,5.713
1887,11,0.332,0.700,-1.788
1887,12,0.710,0.509,-6.3
1888,1,1.508,0.771,-8.282
1888,2,0.971,0.425,-6.559
1888,3,1.963,0.843,-0.057
1888,4,-0.768,0.760,3.762
1888,5,1.005,0.672,10.065
1888,6,0.153,0.782,13.723
1888,7,1.386,0.502,17.756
1888,8,0.422,0.775,15.982
1888,9,-1.166,0.620,9.894
1888,10,1.022,0.607,5.532
1888,11,0.283,0.608,-1.837
1888,12,-0.755,0.712,-7.765
1889,1,-3.812,0.742,-13.602
1889,2,0.603,0.834,-6.927
1889,3,1.755,0.562,-0.265
1889,4,0.430,0.529,4.96
1889,5,-2.060,0.515,7
1889,6,2.256,0.624,15.826
1889,7,0.517,0.426,16.887
1889,8,0.123,0.462,15.683
1889,9,0.707,0.366,11.767
1889,10,-2.185,0.504,2.325
1889,11,-1.940,0.502,-4.06
1889,12,-2.301,0.771,-9.311
1890,1,-2.259,0.754,-12.049
