Year,Month,Temperature Anamoly,UC,Temperature
1837,9,-0.759,2.169,4.651
1837,10,-2.792,2.148,-4.812
1837,11,-1.930,2.191,-13.44
1837,12,-1.455,2.320,-21.155
1838,1,-1.372,2.799,-24.872
1838,2,-1.074,1.890,-21.994
1838,3,0.182,2.426,-15.558
1838,4,-2.740,2.469,-9.34
1838,5,-1.447,1.625,0.933
1838,6,-0.336,1.682,8.914
1838,7,-0.318,1.905,12.552
1838,8,-0.766,1.907,10.604
1838,9,-0.074,2.058,5.336
1838,10,-1.176,2.113,-3.196
1838,11,-1.874,2.472,-13.384
1838,12,-1.179,1.685,-20.879
1839,1,-0.151,2.372,-23.651
1839,2,2.590,2.122,-18.33
1839,3,-1.547,1.959,-17.287
1839,4,2.195,1.835,-4.405
1839,5,-1.134,1.903,1.246
1839,6,-0.436,1.881,8.814
1839,7,-0.052,2.019,12.818
1839,8,1.011,2.063,12.381
1839,9,-1.505,2.373,3.905
1839,10,-1.731,2.418,-3.751
1839,11,-0.332,1.955,-11.842
1839,12,0.933,2.053,-18.767
1840,1,2.191,2.591,-21.309
1840,2,-1.779,2.258,-22.699
1840,3,0.903,1.938,-14.837
1840,4,-1.167,1.784,-7.767
1840,5,0.161,1.940,2.541
1840,6,-0.167,1.586,9.083
1840,7,0.737,1.899,13.607
1840,8,-1.325,2.099,10.045
1840,9,-0.183,1.772,5.227
1840,10,-2.351,1.654,-4.371
1840,11,-1.332,2.346,-12.842
1840,12,-1.027,2.181,-20.727
1841,1,-0.318,2.251,-23.818
1841,2,0.315,2.339,-20.605
1841,3,-0.649,1.805,-16.389
1841,4,-3.649,2.304,-10.249
1841,5,-0.677,1.685,1.703
1841,6,-0.435,1.666,8.815
1841,7,-0.348,1.647,12.522
1841,8,0.156,1.764,11.526
1841,9,-0.906,1.556,4.504
1841,10,-1.432,1.627,-3.452
1841,11,0.347,1.998,-11.163
1841,12,0.335,2.645,-19.365
1842,1,0.870,2.305,-22.63
1842,2,-1.003,2.019,-21.923
1842,3,0.558,1.666,-15.182
1842,4,0.923,1.791,-5.677
1842,5,-1.293,1.845,1.087
1842,6,-2.001,1.940,7.249
1842,7,-1.263,1.711,11.607
1842,8,0.234,1.753,11.604
1842,9,-0.905,1.601,4.505
1842,10,-1.095,1.690,-3.115
1842,11,-1.272,1.912,-12.782
1842,12,0.930,2.093,-18.77
1843,1,2.551,1.894,-20.949
1843,2,-2.373,1.794,-23.293
1843,3,-1.731,2.037,-17.471
1843,4,-0.456,1.618,-7.056
1843,5,-2.220,1.884,0.16
1843,6,-1.787,1.654,7.463
1843,7,-1.048,1.657,11.822
1843,8,-0.575,1.589,10.795
1843,9,-1.123,1.611,4.287
1843,10,-2.584,1.629,-4.604
1843,11,-1.487,1.876,-12.997
1843,12,0.969,2.451,-18.731
1844,1,-2.239,1.877,-25.739
1844,2,0.925,1.860,-19.995
1844,3,-1.620,1.909,-17.36
1844,4,0.182,1.856,-6.418
1844,5,-2.035,1.567,0.345
1844,6,-1.520,1.723,7.73
1844,7,-1.227,1.629,11.643
1844,8,-1.462,1.636,9.908
1844,9,-1.149,1.515,4.261
1844,10,-1.683,1.573,-3.703
1844,11,-2.970,1.674,-14.48
1844,12,-0.478,2.144,-20.178
1845,1,1.197,2.084,-22.303
1845,2,-0.574,2.362,-21.494
1845,3,-0.642,1.697,-16.382
1845,4,0.081,1.744,-6.519
1845,5,-1.697,1.705,0.683
1845,6,-1.501,1.867,7.749
1845,7,-0.720,1.874,12.15
1845,8,0.132,1.727,11.502
1845,9,-0.922,2.234,4.488
1845,10,-3.102,2.492,-5.122
1845,11,-0.917,1.918,-12.427
1845,12,-1.296,2.324,-20.996
1846,1,4.158,4.684,-19.342
1846,2,-0.922,2.788,-21.842
1846,3,2.376,2.407,-13.364
1846,4,-1.494,3.295,-8.094
1846,5,NaN,NaN,#VALUE!
1846,6,0.956,2.687,10.206
1846,7,0.356,2.238,13.226
1846,8,0.726,2.125,12.096
1846,9,0.036,2.186,5.446
1846,10,-1.854,2.545,-3.874
1846,11,0.428,2.698,-11.082
1846,12,0.792,2.472,-18.908
1847,1,1.081,2.495,-22.419
1847,2,1.302,2.699,-19.618
1847,3,-1.060,2.540,-16.8
1847,4,-1.205,2.284,-7.805
1847,5,-0.879,1.861,1.501
1847,6,-0.835,2.002,8.415
1847,7,-0.318,2.120,12.552
1847,8,-0.612,2.007,10.758
1847,9,-0.486,2.019,4.924
1847,10,-1.137,2.106,-3.157
1847,11,-0.957,2.105,-12.467
1847,12,-1.042,2.155,-20.742
1848,1,-0.729,2.374,-24.229
1848,2,0.872,2.561,-20.048
1848,3,-1.088,2.026,-16.828
1848,4,0.192,2.206,-6.408
1848,5,-0.781,1.972,1.599
1848,6,-0.892,2.148,8.358
1848,7,-0.306,1.959,12.564
1848,8,-1.295,1.943,10.075
1848,9,-1.547,1.798,3.863
1848,10,-0.974,2.006,-2.994
1848,11,-0.406,1.882,-11.916
1848,12,-2.338,2.131,-22.038
1849,1,-0.932,2.402,-24.432
1849,2,-3.256,2.278,-24.176
1849,3,-0.519,2.220,-16.259
1849,4,-2.977,3.440,-9.577
1849,5,-1.262,2.226,1.118
1849,6,-1.157,2.404,8.093
1849,7,0.107,1.910,12.977
1849,8,-0.829,1.689,10.541
1849,9,-0.850,2.107,4.56
1849,10,-0.508,1.949,-2.528
1849,11,1.953,2.549,-9.557
1849,12,-2.145,2.469,-21.845
1850,1,-0.167,1.984,-23.667
1850,2,0.967,3.023,-19.953
1850,3,-0.952,2.168,-16.692
1850,4,-1.940,2.075,-8.54
1850,5,-1.507,2.108,0.873
1850,6,0.475,1.804,9.725
1850,7,0.228,1.609,13.098
1850,8,0.061,1.676,11.431
1850,9,-0.253,1.611,5.157
1850,10,-0.990,1.980,-3.01
1850,11,0.415,1.926,-11.095
1850,12,-1.275,2.548,-20.975
1851,1,0.953,1.891,-22.547
1851,2,-0.751,2.114,-21.671
1851,3,0.885,1.719,-14.855
1851,4,-0.226,2.091,-6.826
1851,5,-0.959,2.177,1.421
1851,6,-0.845,1.852,8.405
1851,7,-0.236,1.784,12.634
1851,8,-0.829,2.045,10.541
1851,9,0.320,1.816,5.73
1851,10,0.088,2.142,-1.932
1851,11,-0.067,1.830,-11.577
1851,12,-1.139,1.996,-20.839
1852,1,1.498,2.372,-22.002
1852,2,0.459,1.806,-20.461
1852,3,-2.172,2.075,-17.912
1852,4,0.227,2.821,-6.373
1852,5,0.017,2.025,2.397
1852,6,-0.184,1.687,9.066
1852,7,0.136,1.578,13.006
1852,8,-0.343,1.685,11.027
1852,9,-0.249,1.846,5.161
1852,10,-0.294,1.891,-2.314
1852,11,-1.286,2.200,-12.796
1852,12,-0.733,2.211,-20.433
1853,1,0.347,2.183,-23.153
1853,2,-0.038,2.282,-20.958
1853,3,-0.697,1.982,-16.437
1853,4,-0.243,2.052,-6.843
1853,5,-0.334,1.898,2.046
1853,6,-0.195,1.919,9.055
1853,7,-0.402,1.954,12.468
1853,8,-0.247,1.920,11.123
1853,9,-0.477,1.794,4.933
1853,10,-1.233,1.954,-3.253
1853,11,NaN,NaN,#VALUE!
1853,12,0.066,1.991,-19.634
1854,1,-1.427,2.158,-24.927
1854,2,-2.436,1.995,-23.356
1854,3,-0.992,1.919,-16.732
1854,4,-1.072,2.087,-7.672
1854,5,-0.712,1.986,1.668
1854,6,-0.538,1.831,8.712
1854,7,-0.077,1.885,12.793
1854,8,-0.240,1.945,11.13
1854,9,-0.152,1.906,5.258
1854,10,-0.100,2.028,-2.12
1854,11,0.990,2.338,-10.52
1854,12,-0.084,2.730,-19.784
1855,1,NaN,NaN,#VALUE!
1855,2,-0.933,2.704,-21.853
1855,3,NaN,NaN,#VALUE!
1855,4,-0.977,2.485,-7.577
1855,5,NaN,NaN,#VALUE!
1855,6,-0.515,1.931,8.735
1855,7,-0.570,1.878,12.3
1855,8,-1.038,2.139,10.332
1855,9,-0.585,2.160,4.825
1855,10,-1.810,2.170,-3.83
1855,11,-1.102,2.029,-12.612
1855,12,-2.298,2.266,-21.998
1856,1,1.502,1.785,-21.998
1856,2,0.022,2.017,-20.898
1856,3,-0.429,1.686,-16.169
1856,4,-0.104,1.643,-6.704
1856,5,0.293,1.707,2.673
1856,6,1.497,2.685,10.747
1856,7,-0.052,1.883,12.818
1856,8,-0.980,1.750,10.39
1856,9,-0.364,1.767,5.046
1856,10,-1.407,1.781,-3.427
1856,11,0.283,1.869,-11.227
1856,12,-0.398,1.978,-20.098
1857,1,-1.179,1.976,-24.679
1857,2,-1.147,2.091,-22.067
1857,3,-0.421,2.012,-16.161
1857,4,-1.371,1.970,-7.971
1857,5,-0.981,1.829,1.399
1857,6,-0.473,1.865,8.777
1857,7,-0.150,1.890,12.72
1857,8,-0.648,1.843,10.722
1857,9,-0.463,1.797,4.947
1857,10,-1.484,1.581,-3.504
1857,11,-0.364,1.650,-11.874
1857,12,1.102,1.615,-18.598
1858,1,-0.591,2.300,-24.091
1858,2,-2.616,1.618,-23.536
1858,3,1.199,2.044,-14.541
1858,4,-0.604,1.612,-7.204
1858,5,-0.890,1.591,1.49
1858,6,0.622,1.731,9.872
1858,7,-0.799,1.750,12.071
1858,8,-0.496,1.732,10.874
1858,9,-0.541,1.753,4.869
1858,10,-1.236,1.798,-3.256
1858,11,-0.150,1.818,-11.66
1858,12,-1.198,1.885,-20.898
1859,1,-0.368,1.983,-23.868
1859,2,-1.867,2.065,-22.787
1859,3,0.030,1.838,-15.71
1859,4,-1.081,1.816,-7.681
1859,5,0.370,1.890,2.75
1859,6,-0.478,1.965,8.772
1859,7,-0.356,1.775,12.514
1859,8,-0.346,1.708,11.024
1859,9,-0.574,1.711,4.836
1859,10,-1.739,2.034,-3.759
1859,11,-1.674,2.042,-13.184
1859,12,-0.707,2.621,-20.407
1860,1,0.852,2.045,-22.648
1860,2,0.075,2.218,-20.845
1860,3,0.706,2.329,-15.034
1860,4,-1.157,1.894,-7.757
1860,5,0.231,1.868,2.611
1860,6,0.502,1.829,9.752
1860,7,-0.192,1.847,12.678
1860,8,-0.057,1.970,11.313
1860,9,-0.213,1.807,5.197
1860,10,-0.953,1.848,-2.973
1860,11,0.601,1.994,-10.909
1860,12,-0.544,2.303,-20.244
1861,1,-1.158,2.309,-24.658
1861,2,-0.326,2.074,-21.246
1861,3,-1.795,1.892,-17.535
1861,4,-1.461,1.836,-8.061
1861,5,-1.238,1.903,1.142
1861,6,0.217,1.925,9.467
1861,7,-0.040,1.874,12.83
1861,8,-0.141,1.842,11.229
1861,9,-0.267,1.785,5.143
1861,10,-1.457,1.835,-3.477
1861,11,-0.604,2.066,-12.114
1861,12,-0.531,2.330,-20.231
1862,1,-2.674,2.325,-26.174
1862,2,-3.406,2.222,-24.326
1862,3,-1.087,1.943,-16.827
1862,4,-2.804,1.946,-9.404
1862,5,-0.243,2.048,2.137
1862,6,-0.398,2.042,8.852
1862,7,-0.447,1.837,12.423
1862,8,-0.498,1.838,10.872
1862,9,-0.617,1.881,4.793
1862,10,-2.162,1.942,-4.182
1862,11,-1.179,2.142,-12.689
1862,12,-0.816,2.115,-20.516
1863,1,0.823,2.005,-22.677
1863,2,-1.080,2.792,-22
1863,3,-1.697,1.968,-17.437
1863,4,-0.716,2.024,-7.316
1863,5,0.432,2.009,2.812
1863,6,0.289,1.941,9.539
1863,7,-0.485,1.802,12.385
1863,8,-1.017,1.869,10.353
1863,9,-0.734,1.894,4.676
1863,10,-2.072,1.982,-4.092
1863,11,-0.518,1.948,-12.028
1863,12,-1.485,1.973,-21.185
1864,1,-0.633,2.695,-24.133
1864,2,0.545,2.315,-20.375
1864,3,0.053,2.299,-15.687
1864,4,-1.078,1.914,-7.678
1864,5,0.925,1.966,3.305
1864,6,0.804,1.865,10.054
1864,7,0.104,2.079,12.974
1864,8,-0.098,1.926,11.272
1864,9,-0.280,1.869,5.13
1864,10,-1.133,1.970,-3.153
1864,11,-0.465,2.237,-11.975
1864,12,-1.292,2.049,-20.992
1865,1,0.330,2.020,-23.17
1865,2,-0.267,2.033,-21.187
1865,3,-0.864,2.151,-16.604
1865,4,-1.301,1.960,-7.901
1865,5,-0.022,1.844,2.358
1865,6,-0.057,1.838,9.193
1865,7,-0.737,1.921,12.133
1865,8,-0.143,2.045,11.227
1865,9,0.462,1.929,5.872
1865,10,-0.806,2.003,-2.826
1865,11,0.818,1.944,-10.692
1865,12,-1.599,2.029,-21.299
1866,1,-1.156,2.186,-24.656
1866,2,-2.146,2.339,-23.066
1866,3,-1.290,2.136,-17.03
1866,4,-0.702,1.938,-7.302
1866,5,-0.574,1.832,1.806
1866,6,-0.530,1.870,8.72
1866,7,0.749,1.797,13.619
1866,8,-1.258,1.922,10.112
1866,9,-0.688,1.894,4.722
1866,10,-0.990,1.950,-3.01
1866,11,0.392,1.866,-11.118
1866,12,-0.092,1.929,-19.792
1867,1,0.297,2.060,-23.203
1867,2,-1.800,2.235,-22.72
1867,3,-1.545,1.987,-17.285
1867,4,-0.974,1.954,-7.574
1867,5,-1.101,1.769,1.279
1867,6,0.509,1.750,9.759
1867,7,0.133,1.886,13.003
1867,8,0.350,1.968,11.72
1867,9,0.189,1.776,5.599
1867,10,-0.768,1.835,-2.788
1867,11,0.713,2.135,-10.797
1867,12,-1.530,2.021,-21.23
1868,1,-1.558,2.018,-25.058
1868,2,-2.983,2.219,-23.903
1868,3,0.043,2.137,-15.697
1868,4,-0.632,1.923,-7.232
1868,5,0.066,1.928,2.446
1868,6,0.769,1.774,10.019
1868,7,0.894,1.739,13.764
1868,8,0.049,1.728,11.419
1868,9,-1.204,1.737,4.206
1868,10,-1.624,1.966,-3.644
1868,11,-0.671,1.850,-12.181
1868,12,-0.241,2.055,-19.941
1869,1,0.868,2.313,-22.632
1869,2,-0.077,2.245,-20.997
