Year,Month,Temperature Anomaly,UC,Temperature 
1777,10,-2.439,4.887,3.951
1777,11,0.548,3.342,1.528
1777,12,0.906,2.768,-2.774
1778,1,0.811,4.864,-6.179
1778,2,0.449,2.401,-5.551
1778,3,0.526,3.221,-1.024
1778,4,2.362,3.311,8.622
1778,5,0.604,2.311,13.274
1778,6,-0.236,6.981,6.024
1778,7,1.128,2.829,18.938
1778,8,-0.511,4.263,16.359
1778,9,-0.055,2.628,12.045
1778,10,-2.502,4.284,3.888
1778,11,-2.046,5.697,-1.066
1778,12,1.675,2.011,-2.005
1779,1,-0.587,7.880,-7.577
1779,2,4.085,10.396,-1.915
1779,3,3.114,3.175,1.564
1779,4,1.448,4.349,7.708
1779,5,2.435,2.083,15.105
1779,6,-1.115,4.764,5.145
1779,7,-1.375,2.384,16.435
1779,8,0.789,2.632,17.659
1779,9,0.736,2.573,12.836
1779,10,0.598,4.267,6.988
1779,11,0.719,2.998,1.699
1779,12,1.498,4.541,-2.182
1780,1,-1.720,6.352,-8.71
1780,2,-1.577,7.093,-7.577
1780,3,3.630,2.943,2.08
1780,4,-0.439,2.973,5.821
1780,5,0.509,4.885,13.179
1780,6,-1.184,7.321,5.076
1780,7,0.705,5.290,18.515
1780,8,-1.257,7.162,15.613
1780,9,-2.178,4.434,9.922
1780,10,0.634,1.950,7.024
1780,11,0.046,2.242,1.026
1780,12,-3.164,3.323,-6.844
1781,1,-0.271,6.181,-7.261
1781,2,-0.000,8.280,-6
1781,3,0.470,1.703,-1.08
1781,4,-0.301,4.013,5.959
1781,5,-0.757,3.013,11.913
1781,6,-0.030,2.152,6.23
1781,7,0.405,1.980,18.215
1781,8,3.357,1.909,20.227
1781,9,2.077,4.725,14.177
1781,10,-1.484,1.854,4.906
1781,11,2.286,3.185,3.266
1781,12,-3.438,6.350,-7.118
1782,1,1.812,3.161,-5.178
1782,2,-4.381,6.573,-10.381
1782,3,-0.115,5.940,-1.665
1782,4,-0.994,2.392,5.266
1782,5,-0.472,2.471,12.198
1782,6,-0.822,2.002,5.438
1782,7,0.155,2.626,17.965
1782,8,-0.090,2.637,16.78
1782,9,-0.060,2.289,12.04
1782,10,-0.666,5.116,5.724
1782,11,-1.785,4.036,-0.805
1782,12,-3.172,3.924,-6.852
1783,1,-2.286,2.172,-9.276
1783,2,3.389,3.052,-2.611
1783,3,-0.373,1.966,-1.923
1783,4,-0.486,2.298,5.774
1783,5,2.444,4.580,15.114
1783,6,2.372,5.306,8.632
1783,7,-0.029,2.605,17.781
1783,8,1.818,2.224,18.688
1783,9,0.476,4.800,12.576
1783,10,0.203,5.087,6.593
1783,11,-3.169,5.068,-2.189
1783,12,-3.128,2.346,-6.808
1784,1,-1.409,8.262,-8.399
1784,2,-1.400,7.611,-7.4
1784,3,-1.211,4.246,-2.761
1784,4,-0.092,3.361,6.168
1784,5,-1.642,2.473,11.028
1784,6,-0.502,3.095,5.758
1784,7,0.138,2.843,17.948
1784,8,2.097,2.624,18.967
1784,9,-0.864,4.790,11.236
1784,10,-2.378,2.056,4.012
1784,11,0.262,5.206,1.242
1784,12,0.354,3.322,-3.326
1785,1,-0.553,2.425,-7.543
1785,2,-1.483,4.935,-7.483
1785,3,-5.825,5.480,-7.375
1785,4,-2.896,4.404,3.364
1785,5,-2.364,1.771,10.306
1785,6,-1.700,4.879,4.56
1785,7,-1.016,2.674,16.794
1785,8,-0.355,1.873,16.515
1785,9,-0.649,1.814,11.451
1785,10,-2.089,5.606,4.301
1785,11,0.590,1.865,1.57
1785,12,-3.285,2.689,-6.965
1786,1,0.058,2.930,-6.932
1786,2,-1.635,3.972,-7.635
1786,3,-0.588,3.653,-2.138
1786,4,1.388,2.124,7.648
1786,5,-2.072,2.593,10.598
1786,6,-0.746,3.503,5.514
1786,7,-0.057,2.287,17.753
1786,8,-0.010,1.904,16.86
1786,9,-0.162,1.432,11.938
1786,10,-2.931,4.100,3.459
1786,11,-5.572,3.589,-4.592
1786,12,-2.178,3.154,-5.858
1787,1,0.836,7.051,-6.154
1787,2,0.916,4.542,-5.084
1787,3,0.788,2.783,-0.762
1787,4,-1.459,2.647,4.801
1787,5,0.819,1.824,13.489
1787,6,1.341,2.725,7.601
1787,7,-0.639,3.677,17.171
1787,8,-0.554,1.813,16.316
1787,9,-2.034,2.592,10.066
1787,10,0.349,2.060,6.739
1787,11,-0.739,4.046,0.241
1787,12,-0.308,2.732,-3.988
1788,1,0.662,4.886,-6.328
1788,2,-0.612,4.330,-6.612
1788,3,-0.736,4.010,-2.286
1788,4,-1.079,4.389,5.181
1788,5,-0.527,2.273,12.143
1788,6,1.052,1.591,7.312
1788,7,2.649,3.539,20.459
1788,8,-0.756,2.466,16.114
1788,9,1.133,3.358,13.233
1788,10,-1.676,3.650,4.714
1788,11,-1.835,3.352,-0.855
1788,12,-9.701,5.745,-13.381
1789,1,-2.236,3.757,-9.226
1789,2,0.326,2.082,-5.674
1789,3,-3.777,5.167,-5.327
1789,4,-0.944,2.122,5.316
1789,5,2.999,5.119,15.669
1789,6,0.116,1.596,6.376
1789,7,2.590,2.676,20.4
1789,8,1.158,1.390,18.028
1789,9,1.479,1.659,13.579
1789,10,1.144,2.413,7.534
1789,11,1.347,4.363,2.327
1789,12,2.420,3.354,-1.26
1790,1,2.180,2.255,-4.81
1790,2,3.228,3.604,-2.772
1790,3,1.323,3.081,-0.227
1790,4,-3.087,1.803,3.173
1790,5,-0.779,4.344,11.891
1790,6,-0.265,2.259,5.995
1790,7,-1.539,1.969,16.271
1790,8,-1.441,1.727,15.429
1790,9,-0.814,1.768,11.286
1790,10,-1.745,2.094,4.645
1790,11,-1.367,1.907,-0.387
1790,12,3.062,6.341,-0.618
1791,1,5.557,4.152,-1.433
1791,2,3.531,2.616,-2.469
1791,3,1.694,2.859,0.144
1791,4,2.263,1.966,8.523
1791,5,-1.620,1.239,11.05
1791,6,-0.304,3.624,5.956
1791,7,-0.162,2.080,17.648
1791,8,0.488,1.881,17.358
1791,9,-1.330,2.139,10.77
1791,10,-1.113,1.642,5.277
1791,11,-0.413,3.303,0.567
1791,12,2.062,2.435,-1.618
1792,1,-0.626,2.673,-7.616
1792,2,-0.905,4.613,-6.905
1792,3,-0.761,2.834,-2.311
1792,4,-0.422,1.878,5.838
1792,5,-0.741,2.109,11.929
1792,6,0.249,1.444,6.509
1792,7,1.791,3.598,19.601
1792,8,-0.403,2.983,16.467
1792,9,1.470,2.418,13.57
1792,10,-2.553,2.183,3.837
1792,11,-1.654,2.524,-0.674
1792,12,0.762,2.292,-2.918
1793,1,-1.543,2.949,-8.533
1793,2,3.981,2.077,-2.019
1793,3,-0.303,2.007,-1.853
1793,4,-1.066,3.066,5.194
1793,5,-0.393,1.861,12.277
1793,6,0.149,3.602,6.409
1793,7,1.519,3.338,19.329
1793,8,-0.235,3.678,16.635
1793,9,-1.142,3.651,10.958
1793,10,0.460,3.098,6.85
1793,11,0.805,5.638,1.785
1793,12,-1.392,3.426,-5.072
1794,1,3.746,3.144,-3.244
1794,2,2.589,5.754,-3.411
1794,3,3.101,2.522,1.551
1794,4,1.647,3.438,7.907
1794,5,2.357,2.877,15.027
1794,6,0.860,3.805,7.12
1794,7,0.861,5.548,18.671
1794,8,-0.943,2.587,15.927
1794,9,-1.655,1.794,10.445
1794,10,0.288,1.776,6.678
1794,11,-0.056,3.076,0.924
1794,12,-2.897,4.939,-6.577
1795,1,-3.764,2.619,-10.754
1795,2,0.639,4.167,-5.361
1795,3,0.941,2.074,-0.609
1795,4,2.130,4.069,8.39
1795,5,-0.461,3.407,12.209
1795,6,0.474,3.318,6.734
1795,7,-0.418,2.441,17.392
1795,8,-0.813,2.874,16.057
1795,9,-0.946,2.589,11.154
1795,10,0.028,4.114,6.418
1795,11,-0.805,3.647,0.175
1795,12,0.618,4.295,-3.062
1796,1,5.315,3.879,-1.675
1796,2,1.167,3.823,-4.833
1796,3,-3.244,3.091,-4.794
1796,4,-2.165,2.814,4.095
1796,5,-0.123,1.728,12.547
1796,6,0.938,3.637,7.198
1796,7,0.508,2.384,18.318
1796,8,0.776,4.575,17.646
1796,9,-0.068,4.228,12.032
1796,10,-0.471,1.955,5.919
1796,11,-1.638,3.381,-0.658
1796,12,-3.127,4.923,-6.807
1797,1,3.074,6.172,-3.916
1797,2,5.473,4.610,-0.527
1797,3,0.108,5.580,-1.442
1797,4,-0.054,5.681,6.206
1797,5,1.430,4.400,14.1
1797,6,1.975,3.005,8.235
1797,7,0.681,2.660,18.491
1797,8,0.509,4.790,17.379
1797,9,1.907,3.652,14.007
1797,10,0.899,2.254,7.289
1797,11,-1.122,2.337,-0.142
1797,12,1.573,2.667,-2.107
1798,1,1.867,2.855,-5.123
1798,2,2.431,3.681,-3.569
1798,3,2.531,2.741,0.981
1798,4,1.109,2.180,7.369
1798,5,1.443,3.351,14.113
1798,6,0.023,2.503,6.283
1798,7,1.332,2.209,19.142
1798,8,1.712,4.851,18.582
1798,9,1.011,2.538,13.111
1798,10,-1.031,2.256,5.359
1798,11,-1.877,4.531,-0.897
1798,12,-5.211,3.575,-8.891
1799,1,-2.777,2.199,-9.767
1799,2,-6.619,2.058,-12.619
1799,3,-3.141,3.490,-4.691
1799,4,-0.636,3.158,5.624
1799,5,-0.836,2.127,11.834
1799,6,-0.484,2.731,5.776
1799,7,-0.116,2.183,17.694
1799,8,-0.223,2.276,16.647
1799,9,-0.409,2.900,11.691
1799,10,-0.295,1.712,6.095
1799,11,0.988,1.977,1.968
1799,12,-5.470,3.138,-9.15
1800,1,-1.083,1.891,-8.073
1800,2,-0.376,3.074,-6.376
1800,3,-3.703,2.728,-5.253
1800,4,2.734,1.859,8.994
1800,5,0.259,2.034,12.929
1800,6,-1.211,2.032,5.049
1800,7,-2.073,2.394,15.737
1800,8,-0.064,2.411,16.806
1800,9,-1.713,2.320,10.387
1800,10,-0.110,2.512,6.28
1800,11,1.356,3.406,2.336
1800,12,0.918,2.077,-2.762
1801,1,1.925,2.707,-5.065
1801,2,0.110,3.908,-5.89
1801,3,3.498,2.214,1.948
1801,4,-0.074,2.025,6.186
1801,5,4.099,3.095,16.769
1801,6,-1.663,3.081,4.597
1801,7,1.329,2.910,19.139
1801,8,-1.943,2.411,14.927
1801,9,0.528,2.090,12.628
1801,10,0.344,4.758,6.734
1801,11,1.585,2.002,2.565
1801,12,1.464,3.765,-2.216
1802,1,0.855,4.347,-6.135
1802,2,2.410,4.720,-3.59
1802,3,3.892,3.343,2.342
1802,4,0.855,2.855,7.115
1802,5,-1.053,3.625,11.617
1802,6,-1.013,3.320,5.247
1802,7,1.088,2.519,18.898
1802,8,1.416,2.833,18.286
1802,9,-0.974,2.221,11.126
1802,10,1.589,3.150,7.979
1802,11,-1.838,3.177,-0.858
1802,12,0.529,2.130,-3.151
1803,1,-4.623,3.556,-11.613
1803,2,-3.396,3.409,-9.396
1803,3,0.207,3.827,-1.343
1803,4,2.108,2.203,8.368
1803,5,2.047,2.210,14.717
1803,6,-0.979,1.832,5.281
1803,7,0.850,2.613,18.66
1803,8,1.490,3.159,18.36
1803,9,-1.026,2.248,11.074
1803,10,-0.983,4.099,5.407
1803,11,-0.982,2.346,-0.002
1803,12,-3.706,2.519,-7.386
1804,1,2.991,5.821,-3.999
1804,2,-1.025,2.392,-7.025
1804,3,-2.820,3.276,-4.37
1804,4,0.924,1.903,7.184
1804,5,0.361,2.608,13.031
1804,6,-1.019,2.322,5.241
1804,7,1.319,2.161,19.129
1804,8,-0.170,2.536,16.7
1804,9,0.854,3.846,12.954
1804,10,-0.375,1.980,6.015
1804,11,-3.210,4.395,-2.23
1804,12,-5.089,4.562,-8.769
1805,1,-1.952,2.172,-8.942
1805,2,-1.625,2.068,-7.625
1805,3,0.495,1.957,-1.055
1805,4,-2.055,2.812,4.205
1805,5,-0.729,2.386,11.941
1805,6,-1.624,2.679,4.636
1805,7,-0.084,2.370,17.726
1805,8,-0.390,1.953,16.48
1805,9,0.723,4.109,12.823
1805,10,-5.234,3.317,1.156
1805,11,-4.196,4.069,-3.216
1805,12,0.821,2.302,-2.859
1806,1,3.681,3.497,-3.309
1806,2,0.436,3.481,-5.564
1806,3,-0.267,2.328,-1.817
1806,4,-0.638,3.109,5.622
1806,5,0.981,2.689,13.651
1806,6,-2.856,1.802,3.404
1806,7,-1.745,2.233,16.065
1806,8,0.837,2.534,17.707
1806,9,2.374,4.506,14.474
1806,10,-1.358,2.528,5.032
1806,11,-0.808,2.783,0.172
1806,12,2.785,2.870,-0.895
1807,1,0.295,4.432,-6.695
1807,2,3.638,2.132,-2.362
1807,3,-0.643,3.519,-2.193
1807,4,-1.661,3.190,4.599
1807,5,-1.482,1.842,11.188
1807,6,-0.885,2.843,5.375
1807,7,0.055,2.198,17.865
1807,8,3.278,3.027,20.148
1807,9,0.010,1.657,12.11
1807,10,-0.502,1.649,5.888
1807,11,1.706,2.028,2.686
1807,12,2.158,2.261,-1.522
1808,1,2.157,7.631,-4.833
1808,2,-0.789,2.215,-6.789
1808,3,-4.879,4.711,-6.429
1808,4,-2.408,2.379,3.852
1808,5,-0.840,3.394,11.83
1808,6,0.172,2.735,6.432
1808,7,0.592,2.798,18.402
1808,8,1.311,2.135,18.181
1808,9,1.635,2.919,13.735
1808,10,0.616,4.025,7.006
1808,11,-1.877,2.101,-0.897
1808,12,-5.884,3.054,-9.564
1809,1,-6.142,5.197,-13.132
1809,2,0.534,3.700,-5.466
1809,3,-4.670,4.651,-6.22
1809,4,-2.551,4.582,3.709
1809,5,-0.696,3.154,11.974
1809,6,-0.079,1.874,6.181
1809,7,-0.323,2.616,17.487
1809,8,1.045,2.171,17.915
1809,9,0.840,2.127,12.94
1809,10,-1.772,5.087,4.618
1809,11,-3.169,3.593,-2.189
1809,12,1.346,3.147,-2.334
1810,1,0.696,3.367,-6.294
1810,2,0.958,3.682,-5.042
1810,3,-0.829,3.507,-2.379
1810,4,-3.554,2.462,2.706
1810,5,-2.394,2.662,10.276
1810,6,-3.400,3.116,2.86
1810,7,-0.220,2.658,17.59
1810,8,-0.642,2.172,16.228
1810,9,-0.232,2.497,11.868
1810,10,-2.350,3.566,4.04
1810,11,-1.805,5.311,-0.825
1810,12,1.053,4.388,-2.627
1811,1,-2.221,1.570,-9.211
1811,2,-1.390,3.832,-7.39
1811,3,2.135,5.496,0.585
1811,4,-2.227,2.143,4.033
1811,5,1.884,2.115,14.554
1811,6,2.264,2.492,8.524
1811,7,1.402,3.136,19.212
1811,8,1.152,3.130,18.022
1811,9,-1.889,4.212,10.211
1811,10,-1.114,4.188,5.276
1811,11,-0.979,2.194,0.001
1811,12,1.870,3.791,-1.81
1812,1,-2.641,5.968,-9.631
1812,2,-0.736,3.643,-6.736
1812,3,-0.493,2.561,-2.043
1812,4,-3.433,4.876,2.827
1812,5,-2.019,0.949,10.651
1812,6,-0.566,1.292,5.694
1812,7,0.501,2.518,18.311
1812,8,1.317,1.814,18.187
1812,9,-2.180,5.780,9.92
1812,10,1.043,2.418,7.433
1812,11,-2.634,4.043,-1.654
1812,12,-8.188,4.925,-11.868
1813,1,-4.898,4.658,-11.888
1813,2,1.868,2.362,-4.132
1813,3,0.061,4.607,-1.489
1813,4,0.770,3.135,7.03
1813,5,-0.833,7.600,11.837
1813,6,-2.327,1.808,3.933
1813,7,-0.007,2.234,17.803
1813,8,-1.164,1.473,15.706
1813,9,0.280,3.993,12.38
1813,10,-2.539,1.832,3.851
1813,11,1.620,2.828,2.6
1813,12,-0.855,3.851,-4.535
1814,1,-1.596,2.868,-8.586
1814,2,-4.859,2.642,-10.859
1814,3,-0.726,4.726,-2.276
1814,4,0.103,2.262,6.363
1814,5,-3.802,3.875,8.868
1814,6,-1.580,1.193,4.68
1814,7,1.445,3.466,19.255
