Year,Month,Temperature Anomaly,UC,Temperature
1782,7,-0.34,3.003,13.85
1782,8,1.256,3.044,14.246
1782,9,0.813,2.359,9.243
1782,10,-2.53,5.907,0.48
1782,11,-2.655,4.840,-5.405
1782,12,-0.402,3.697,-7.042
1783,1,-2.197,2.844,-11.087
1783,2,2.058,3.100,-6.512
1783,3,-1.47,2.472,-5.75
1783,4,1.795,2.711,2.495
1783,5,0.765,4.629,7.545
1783,6,0.519,5.681,12.839
1783,7,2.379,2.942,16.569
1783,8,0.02,2.277,13.01
1783,9,1.209,4.614,9.639
1783,10,0.08,5.615,3.09
1783,11,-0.837,5.676,-3.587
1783,12,-1.431,2.274,-8.071
1784,1,-3.433,8.306,-12.323
1784,2,-0.001,9.005,-8.571
1784,3,-6.563,4.461,-10.843
1784,4,-1.446,3.548,-0.746
1784,5,-0.358,1.685,6.422
1784,6,-0.962,2.777,11.358
1784,7,-0.891,3.619,13.299
1784,8,-1.428,3.990,11.562
1784,9,-1.036,4.669,7.394
1784,10,-2.102,1.529,0.908
1784,11,0.143,5.711,-2.607
1784,12,-3.376,2.927,-10.016
1785,1,-0.863,2.718,-9.753
1785,2,-1.596,6.255,-10.166
1785,3,-3.718,5.759,-7.998
1785,4,-2.142,4.822,-1.442
1785,5,-2.166,1.939,4.614
1785,6,0.182,4.957,12.502
1785,7,1.143,2.465,15.333
1785,8,-0.233,2.009,12.757
1785,9,-1.593,1.644,6.837
1785,10,-1.811,6.692,1.199
1785,11,-0.099,1.258,-2.849
1785,12,-2.175,2.328,-8.815
1786,1,-3.097,2.195,-11.987
1786,2,-0.013,3.642,-8.583
1786,3,-4.478,4.651,-8.758
1786,4,-0.564,2.429,0.136
1786,5,-1.003,2.921,5.777
1786,6,0.315,3.443,12.635
1786,7,-0.622,2.570,13.568
1786,8,1.277,2.074,14.267
1786,9,0.021,1.945,8.451
1786,10,-1.322,4.086,1.688
1786,11,-4.41,2.794,-7.16
1786,12,-1.365,2.499,-8.005
1787,1,1.858,8.402,-7.032
1787,2,3.15,5.039,-5.42
1787,3,0.962,3.419,-3.318
1787,4,-1.616,3.267,-0.916
1787,5,-0.009,1.694,6.771
1787,6,0.573,2.599,12.893
1787,7,-0.743,3.809,13.447
1787,8,-1.575,1.592,11.415
1787,9,-0.421,2.602,8.009
1787,10,0.422,1.755,3.432
1787,11,-2.558,4.654,-5.308
1787,12,-3.01,3.080,-9.65
1788,1,0.139,5.420,-8.751
1788,2,-2.106,4.511,-10.676
1788,3,-3.94,4.641,-8.22
1788,4,1.839,5.243,2.539
1788,5,-0.129,2.028,6.651
1788,6,0.867,1.667,13.187
1788,7,2.582,4.230,16.772
1788,8,0.154,2.762,13.144
1788,9,1.53,3.392,9.96
1788,10,-2.056,3.744,0.954
1788,11,-0.839,3.384,-3.589
1788,12,-8.508,5.614,-15.148
1789,1,-3.609,4.135,-12.499
1789,2,0.104,1.711,-8.466
1789,3,-7.041,6.099,-11.321
1789,4,-1.45,2.674,-0.75
1789,5,0.734,5.234,7.514
1789,6,2.085,1.466,14.405
1789,7,2.693,2.839,16.883
1789,8,2.24,1.491,15.23
1789,9,1.612,1.804,10.042
1789,10,1.221,2.754,4.231
1789,11,0.649,4.511,-2.101
1789,12,3.515,3.570,-3.125
1790,1,3.22,2.422,-5.67
1790,2,4.476,4.471,-4.094
1790,3,3.525,3.483,-0.755
1790,4,-2.309,1.544,-1.609
1790,5,1.645,4.636,8.425
1790,6,-1.265,2.036,11.055
1790,7,-1.56,2.003,12.63
1790,8,-1.042,1.402,11.948
1790,9,-1.092,1.949,7.338
1790,10,-1.99,2.085,1.02
1790,11,-1.33,1.975,-4.08
1790,12,0.315,6.226,-6.325
1791,1,4.753,5.562,-4.137
1791,2,3.499,3.327,-5.071
1791,3,2.599,3.558,-1.681
1791,4,0.299,2.296,0.999
1791,5,-0.802,1.554,5.978
1791,6,-1.125,3.117,11.195
1791,7,1.81,2.373,16
1791,8,0.73,2.038,13.72
1791,9,-1.021,2.134,7.409
1791,10,-1.898,1.860,1.112
1791,11,-1.088,3.421,-3.838
1791,12,-0.787,2.164,-7.427
1792,1,-2.431,3.838,-11.321
1792,2,-0.985,5.142,-9.555
1792,3,-1.198,2.488,-5.478
1792,4,0.972,1.928,1.672
1792,5,-0.024,2.044,6.756
1792,6,0.651,1.695,12.971
1792,7,2.27,3.763,16.46
1792,8,-0.428,3.004,12.562
1792,9,0.394,2.669,8.824
1792,10,-2.454,2.134,0.556
1792,11,1.899,2.656,-0.851
1792,12,0.388,2.528,-6.252
1793,1,0.933,2.775,-7.957
1793,2,1.856,2.488,-6.714
1793,3,0.584,2.116,-3.696
1793,4,0.795,3.292,1.495
1793,5,0.368,1.652,7.148
1793,6,0.209,3.832,12.529
1793,7,0.085,3.681,14.275
1793,8,0.088,3.727,13.078
1793,9,-0.682,3.829,7.748
1793,10,-0.109,3.167,2.901
1793,11,-1.234,6.239,-3.984
1793,12,-2.968,3.434,-9.608
1794,1,0.471,3.906,-8.419
1794,2,1.563,6.519,-7.007
1794,3,3.944,2.351,-0.336
1794,4,3.526,3.402,4.226
1794,5,0.973,2.818,7.753
1794,6,0.195,4.030,12.515
1794,7,1.077,5.970,15.267
1794,8,0.32,2.615,13.31
1794,9,-0.472,1.634,7.958
1794,10,0.324,1.878,3.334
1794,11,-0.993,3.303,-3.743
1794,12,0.301,4.451,-6.339
1795,1,-1.916,2.800,-10.806
1795,2,-2.131,4.329,-10.701
1795,3,-3.947,1.826,-8.227
1795,4,1.167,4.243,1.867
1795,5,-1.56,3.635,5.22
1795,6,-0.765,3.143,11.555
1795,7,-0.153,2.215,14.037
1795,8,0.122,2.657,13.112
1795,9,0.564,2.225,8.994
1795,10,-0.375,3.825,2.635
